dataset,source_csv,row_index,title,doi_or_url,regime,regime_score,relevant,models_detected,families_detected,include_any_use,primary_model,primary_family,include_primary_only,primary_reason,doi_norm,openalex_openalex_id,openalex_doi,openalex_title,openalex_abstract,openalex_authors,openalex_source,openalex_year,openalex_publication_date,openalex_matched_ml_terms,openalex_regime_selected,openalex_matched_regime_terms,openalex__openalex_source_file,pdf_downloaded,manual_primary_family,manual_primary_model,manual_primary_ambiguous,manual_families_any,manual_models_any
adni,openalex_adni_M_ml_top350.csv,257,Comparison of nine tractography algorithms for detecting abnormal structural brain networks in Alzheimer’s disease,https://doi.org/10.3389/fnagi.2015.00048,M,1,TRUE,Random Forest; Logistic Regression; Support Vector Machine,Kernel / instance-based; Linear / GLM; Tree-based ensemble,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.3389/fnagi.2015.00048,https://openalex.org/W1550018017,https://doi.org/10.3389/fnagi.2015.00048,Comparison of nine tractography algorithms for detecting abnormal structural brain networks in Alzheimer’s disease,"Alzheimer's disease (AD) involves a gradual breakdown of brain connectivity, and network analyses offer a promising new approach to track and understand disease progression. Even so, our ability to detect degenerative changes in brain networks depends on the methods used. Here we compared several tractography and feature extraction methods to see which ones gave best diagnostic classification for 202 people with AD, mild cognitive impairment or normal cognition, scanned with 41-gradient diffusion-weighted magnetic resonance imaging as part of the Alzheimer's Disease Neuroimaging Initiative (ADNI) project. We computed brain networks based on whole brain tractography with nine different methods - four of them tensor-based deterministic (FACT, RK2, SL, and TL), two orientation distribution function (ODF)-based deterministic (FACT, RK2), two ODF-based probabilistic approaches (Hough and PICo), and one ""ball-and-stick"" approach (Probtrackx). Brain networks derived from different tractography algorithms did not differ in terms of classification performance on ADNI, but performing principal components analysis on networks helped classification in some cases. Small differences may still be detectable in a truly vast cohort, but these experiments help assess the relative advantages of different tractography algorithms, and different post-processing choices, when used for classification.","Liang Zhan, Jiayu Zhou, Yalin Wang, et al.",Frontiers in Aging Neuroscience,2015,4/14/2015,classification; algorithm; ann,M,,openalex_adni_M_ml_top350.csv,TRUE,Linear / GLM,Logistic Regression,FALSE,Linear / GLM,Logistic Regression
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,515,A deep learning approach for mental health quality prediction using functional network connectivity and assessment data,https://doi.org/10.1007/s11682-024-00857-y,M,1,TRUE,CNN; DNN,Deep learning,TRUE,CNN,Deep learning,TRUE,ok,10.1007/s11682-024-00857-y,https://openalex.org/W4391722298,https://doi.org/10.1007/s11682-024-00857-y,A deep learning approach for mental health quality prediction using functional network connectivity and assessment data,,"Meenu Ajith, Dawn M. Aycock, Erin B. Tone, et al.",Brain Imaging and Behavior,2024,2/10/2024,deep learning; prediction,M,,openalex_ukb_imaging_M_ml_top350.csv,FALSE,Deep learning,DNN,FALSE,Deep learning,DNN
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,227,Genetic architecture of brain age and its causal relations with brain and mental disorders,https://doi.org/10.1038/s41380-023-02087-y,M,1,TRUE,DNN; Logistic Regression; Ensemble,Deep learning; Ensemble / stacking; Linear / GLM,TRUE,Logistic Regression,Linear / GLM,TRUE,ok,10.1038/s41380-023-02087-y,https://openalex.org/W4376131224,https://doi.org/10.1038/s41380-023-02087-y,Genetic architecture of brain age and its causal relations with brain and mental disorders,"The difference between chronological age and the apparent age of the brain estimated from brain imaging data-the brain age gap (BAG)-is widely considered a general indicator of brain health. Converging evidence supports that BAG is sensitive to an array of genetic and nongenetic traits and diseases, yet few studies have examined the genetic architecture and its corresponding causal relationships with common brain disorders. Here, we estimate BAG using state-of-the-art neural networks trained on brain scans from 53,542 individuals (age range 3-95 years). A genome-wide association analysis across 28,104 individuals (40-84 years) from the UK Biobank revealed eight independent genomic regions significantly associated with BAG (p < 5 × 10<sup>-8</sup>) implicating neurological, metabolic, and immunological pathways - among which seven are novel. No significant genetic correlations or causal relationships with BAG were found for Parkinson's disease, major depressive disorder, or schizophrenia, but two-sample Mendelian randomization indicated a causal influence of AD (p = 7.9 × 10<sup>-4</sup>) and bipolar disorder (p = 1.35 × 10<sup>-2</sup>) on BAG. These results emphasize the polygenic architecture of brain age and provide insights into the causal relationship between selected neurological and neuropsychiatric disorders and BAG.","Esten H. Leonardsen, Didac Vidal‐Piñeiro, James M. Roe, et al.",Molecular Psychiatry,2023,5/10/2023,neural network; neural networks,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Deep learning,DNN,FALSE,Deep learning;Ensemble / stacking,DNN;Ensemble
radar_cns,openalex_radar_cns_M_ml_top350.csv,230,Engineered biomimetic nanoparticles achieve targeted delivery and efficient metabolism-based synergistic therapy against glioblastoma,https://doi.org/10.1038/s41467-022-31799-y,M,1,TRUE,Transformer; Kaplan–Meier,Deep learning; Survival models,TRUE,Kaplan–Meier,Survival models,TRUE,ok,10.1038/s41467-022-31799-y,https://openalex.org/W4286497156,https://doi.org/10.1038/s41467-022-31799-y,Engineered biomimetic nanoparticles achieve targeted delivery and efficient metabolism-based synergistic therapy against glioblastoma,"Glioblastoma multiforme (GBM) is an aggressive brain cancer with a poor prognosis and few treatment options. Here, building on the observation of elevated lactate (LA) in resected GBM, we develop biomimetic therapeutic nanoparticles (NPs) that deliver agents for LA metabolism-based synergistic therapy. Because our self-assembling NPs are encapsulated in membranes derived from glioma cells, they readily penetrate the blood-brain barrier and target GBM through homotypic recognition. After reaching the tumors, lactate oxidase in the NPs converts LA into pyruvic acid (PA) and hydrogen peroxide (H<sub>2</sub>O<sub>2</sub>). The PA inhibits cancer cell growth by blocking histones expression and inducing cell-cycle arrest. In parallel, the H<sub>2</sub>O<sub>2</sub> reacts with the delivered bis[2,4,5-trichloro-6-(pentyloxycarbonyl)phenyl] oxalate to release energy, which is used by the co-delivered photosensitizer chlorin e6 for the generation of cytotoxic singlet oxygen to kill glioma cells. Such a synergism ensures strong therapeutic effects against both glioma cell-line derived and patient-derived xenograft models.","Guihong Lu, Xiaojun Wang, Feng Li, et al.",Nature Communications,2022,7/21/2022,gbm,M,,openalex_radar_cns_M_ml_top350.csv,TRUE,Survival models,Kaplan–Meier,FALSE,Survival models,Kaplan–Meier
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,420,Poorer sleep impairs brain health at midlife,https://doi.org/10.1038/s41598-023-27913-9,M,1,TRUE,Linear Regression,Linear / GLM,TRUE,Linear Regression,Linear / GLM,TRUE,ok,10.1038/s41598-023-27913-9,https://openalex.org/W4318764053,https://doi.org/10.1038/s41598-023-27913-9,Poorer sleep impairs brain health at midlife,"Sleep is an emerging risk factor for dementia but its association with brain health remains unclear. This study included UK Biobank (n = 29,545; mean age = 54.65) participants at imaging visit with sleep measures and brain scans, and a subset (n = 14,206) with cognitive measures. Multiple linear regression analyses were conducted to study the associations between sleep and brain health. Every additional hour of sleep above 7 h/day was associated with 0.10-0.25% lower brain volumes. In contrast, a negative non-linear association was observed between sleep duration, grey matter, and hippocampal volume. Both longer (> 9 h/day) and shorter sleep (< 6 h/day) durations were associated with lower brain volumes and cognitive measures (memory, reaction time, fluid intelligence). Additionally, daytime dozing was associated with lower brain volumes (grey matter and left hippocampus volume) and lower cognitive measures (reaction time and fluid intelligence). Poor sleep (< 6 h/day, > 9 h/day, daytime dozing) at midlife was associated with lower brain health. Sleep may be an important target to improve brain health into old age and delay the onset of dementia.","Tergel Namsrai, Ananthan Ambikairajah, Nicolas Cherbuin",Scientific Reports,2023,2/1/2023,linear regression,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Linear / GLM,Linear Regression,FALSE,Linear / GLM,Linear Regression
adni,openalex_adni_M_ml_top350.csv,170,Detection of Alzheimer’s disease using Otsu thresholding with tunicate swarm algorithm and deep belief network,https://doi.org/10.3389/fphys.2024.1380459,M,2,TRUE,Autoencoder; CNN; DNN; GRU; Graph neural network; LSTM; MLP; RNN; XGBoost; Linear Regression; Logistic Regression; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Linear / GLM; Other classical ML; Tree-based ensemble,TRUE,CNN,Deep learning,TRUE,ok,10.3389/fphys.2024.1380459,https://openalex.org/W4400474691,https://doi.org/10.3389/fphys.2024.1380459,Detection of Alzheimer’s disease using Otsu thresholding with tunicate swarm algorithm and deep belief network,"<b>Introduction:</b> Alzheimer's Disease (AD) is a degenerative brain disorder characterized by cognitive and memory dysfunctions. The early detection of AD is necessary to reduce the mortality rate through slowing down its progression. The prevention and detection of AD is the emerging research topic for many researchers. The structural Magnetic Resonance Imaging (sMRI) is an extensively used imaging technique in detection of AD, because it efficiently reflects the brain variations. <b>Methods:</b> Machine learning and deep learning models are widely applied on sMRI images for AD detection to accelerate the diagnosis process and to assist clinicians for timely treatment. In this article, an effective automated framework is implemented for early detection of AD. At first, the Region of Interest (RoI) is segmented from the acquired sMRI images by employing Otsu thresholding method with Tunicate Swarm Algorithm (TSA). The TSA finds the optimal segmentation threshold value for Otsu thresholding method. Then, the vectors are extracted from the RoI by applying Local Binary Pattern (LBP) and Local Directional Pattern variance (LDPv) descriptors. At last, the extracted vectors are passed to Deep Belief Networks (DBN) for image classification. <b>Results and Discussion:</b> The proposed framework achieves supreme classification accuracy of 99.80% and 99.92% on the Alzheimer's Disease Neuroimaging Initiative (ADNI) and Australian Imaging, Biomarker and Lifestyle flagship work of ageing (AIBL) datasets, which is higher than the conventional detection models.","Praveena Ganesan, G. P. Ramesh, Przemysław Falkowski‐Gilski, et al.",Frontiers in Physiology,2024,7/9/2024,machine learning; deep learning; classification; algorithm,M,,openalex_adni_M_ml_top350.csv,TRUE,Deep learning,CNN,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Kernel / instance-based;Ensemble / stacking;Other classical ML,Autoencoder;CNN;DNN;GRU;Graph neural network;LSTM;RNN;XGBoost;Linear Regression;Support Vector Machine;k-Nearest Neighbors;Ensemble;Decision Tree
mpower,openalex_mpower_M_ml_top350.csv,10,Remote Medication Status Prediction for Individuals with Parkinson's Disease using Time-series Data from Smartphones,https://doi.org/10.48550/arxiv.2207.13700,M,3,TRUE,Transformer,Deep learning,TRUE,Transformer,Deep learning,TRUE,ok,10.48550/arxiv.2207.13700,https://openalex.org/W4288805338,https://doi.org/10.48550/arxiv.2207.13700,Remote Medication Status Prediction for Individuals with Parkinson's Disease using Time-series Data from Smartphones,"Medication for neurological diseases such as the Parkinson's disease usually happens remotely away from hospitals. Such out-of-lab environments pose challenges in collecting timely and accurate health status data. Individual differences in behavioral signals collected from wearable sensors also lead to difficulties in adopting current general machine learning analysis pipelines. To address these challenges, we present a method for predicting the medication status of Parkinson's disease patients using the public mPower dataset, which contains 62,182 remote multi-modal test records collected on smartphones from 487 patients. The proposed method shows promising results in predicting three medication statuses objectively: Before Medication (AUC=0.95), After Medication (AUC=0.958), and Another Time (AUC=0.976) by examining patient-wise historical records with the attention weights learned through a Transformer model. Our method provides an innovative way for personalized remote health sensing in a timely and objective fashion which could benefit a broad range of similar applications.","Weijian Li, Wei Zhu, Ray Dorsey, et al.",arXiv (Cornell University),2022,7/26/2022,machine learning; prediction; transformer; auc,M,multi-modal; wearable; smartphone,openalex_mpower_M_ml_top350.csv,TRUE,Deep learning,Transformer,FALSE,Deep learning;Tree-based ensemble;Ensemble / stacking,Autoencoder;CNN;DNN;GRU;LSTM;MLP;RNN;TCN;Transformer;XGBoost;Ensemble
studentlife,openalex_studentlife_M_ml_top350.csv,39,A Stacked Classifier Model for Enhanced Student Performance Prediction in E-Learning Environments,https://doi.org/10.52549/ijeei.v14i1.7414,M,2,TRUE,CNN; DNN; MLP; AdaBoost; Random Forest; Support Vector Machine; k-Nearest Neighbors; Ensemble; Decision Tree,Deep learning; Ensemble / stacking; Kernel / instance-based; Other classical ML; Tree-based ensemble,TRUE,Ensemble,Ensemble / stacking,TRUE,ok,10.52549/ijeei.v14i1.7414,https://openalex.org/W7150077885,https://doi.org/10.52549/ijeei.v14i1.7414,A Stacked Classifier Model for Enhanced Student Performance Prediction in E-Learning Environments,"The rapid growth of e-learning platforms has resulted in an enormous amount of student interaction data, creating opportunities to anticipate learning outcomes and implement timely interventions. In this research, a Stacked Classifier Model (SCM) is introduced to predict student performance using e-learning reaction data obtained from a Kaggle repository. The SCM employs a hierarchical ensemble approach by combining several base classifiers—K-Nearest Neighbors (KNN), Decision Tree (DT), Multi-Layer Perceptron (MLP), Random Forest (RF), Support Vector Machine (SVM), and Radial Basis Function (RBF) networks—to capitalize on their respective strengths while compensating for individual limitations. The dataset underwent careful preprocessing, including imputation, encoding, feature normalization, and temporal aggregation, to ensure the classifiers received high-quality input. Evaluation results indicate that the SCM outperforms each base model individually, demonstrating its capability to capture complex behavioral patterns in e-learning contexts. Overall, this study highlights the effectiveness of ensemble learning techniques in educational data mining, offering a solid foundation for adaptive learning, personalized interventions, and enhanced academic performance.","Sajithunisa Hussain, J. Jeyachidra",Indonesian Journal of Electrical Engineering and Informatics (IJEEI),2026,3/24/2026,data mining; prediction; classifier; decision tree; random forest; support vector machine; svm; mlp; k-nearest neighbor; knn; nearest neighbor,M,,openalex_studentlife_M_ml_top350.csv,TRUE,Ensemble / stacking,Ensemble,FALSE,Deep learning;Tree-based ensemble;Linear / GLM;Kernel / instance-based;Ensemble / stacking;Other classical ML,CNN;DNN;LSTM;MLP;AdaBoost;Random Forest;Logistic Regression;Support Vector Machine;k-Nearest Neighbors;Ensemble;Decision Tree
ukb_imaging,openalex_ukb_imaging_M_ml_top350.csv,23,Deep neural network-estimated age using optical coherence tomography predicts mortality,https://doi.org/10.1007/s11357-023-00920-4,M,1,TRUE,CNN; DNN; Cox Proportional Hazards,Deep learning; Survival models,TRUE,DNN,Deep learning,TRUE,ok,10.1007/s11357-023-00920-4,https://openalex.org/W4386910560,https://doi.org/10.1007/s11357-023-00920-4,Deep neural network-estimated age using optical coherence tomography predicts mortality,"The concept of biological age has emerged as a measurement that reflects physiological and functional decline with ageing. Here we aimed to develop a deep neural network (DNN) model that predicts biological age from optical coherence tomography (OCT). A total of 84,753 high-quality OCT images from 53,159 individuals in the UK Biobank were included, among which 12,631 3D-OCT images from 8,541 participants without any reported medical conditions at baseline were used to develop an age prediction model. For the remaining 44,618 participants, OCT age gap, the difference between the OCT-predicted age and chronological age, was calculated for each participant. Cox regression models assessed the association between OCT age gap and mortality. The DNN model predicted age with a mean absolute error of 3.27 years and showed a strong correlation of 0.85 with chronological age. After a median follow-up of 11.0 years (IQR 10.9-11.1 years), 2,429 deaths (5.44%) were recorded. For each 5-year increase in OCT age gap, there was an 8% increased mortality risk (hazard ratio [HR] = 1.08, CI:1.02-1.13, P = 0.004). Compared with an OCT age gap within ± 4 years, OCT age gap less than minus 4 years was associated with a 16% decreased mortality risk (HR = 0.84, CI: 0.75-0.94, P = 0.002) and OCT age gap more than 4 years showed an 18% increased risk of death incidence (HR = 1.18, CI: 1.02-1.37, P = 0.026). OCT imaging could serve as an ageing biomarker to predict biological age with high accuracy and the OCT age gap, defined as the difference between the OCT-predicted age and chronological age, can be used as a marker of the risk of mortality.","Ruiye Chen, Shiran Zhang, Guankai Peng, et al.",GeroScience,2023,9/21/2023,prediction model; prediction; regression model; cox; neural network; deep neural network; dnn,M,,openalex_ukb_imaging_M_ml_top350.csv,TRUE,Deep learning,DNN,FALSE,Deep learning;Survival models,CNN;DNN;Cox Proportional Hazards
studentlife,openalex_studentlife_M_ml_top350.csv,180,Psychological crisis detection based on behavioral data: a new approach to non-contact measurement,https://doi.org/10.1186/s40359-025-03604-0,M,5,TRUE,CNN; DNN; Graph neural network; Transformer; Random Forest,Deep learning; Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1186/s40359-025-03604-0,https://openalex.org/W4417274163,https://doi.org/10.1186/s40359-025-03604-0,Psychological crisis detection based on behavioral data: a new approach to non-contact measurement,"The findings suggest that the non-contact method is effective in predicting student psychological crisis. The use of Random Forest algorithm combined with Top-N assessment can effectively identify high-risk individuals and optimize intervention priorities. Furthermore, this study explored the applicability of non-contact methods for predicting students' psychological crisis in real-world scenarios.","Jiali Lin, Jiadong Tian, Tulips Yiwen Wang, et al.",BMC Psychology,2025,12/11/2025,algorithm; random forest,M,,openalex_studentlife_M_ml_top350.csv,TRUE,Tree-based ensemble,Random Forest,FALSE,Deep learning;Tree-based ensemble,DNN;Graph neural network;Random Forest
mpower,openalex_mpower_M_ml_top350.csv,38,Parkinson’s Disease Classification from Data Collected Using Smartphone: A Review of the Literature,https://doi.org/10.70933/2773-9465.1177,M,2,TRUE,DNN; Ensemble,Deep learning; Ensemble / stacking,TRUE,Ensemble,Ensemble / stacking,TRUE,ok,10.70933/2773-9465.1177,https://openalex.org/W4415771016,https://doi.org/10.70933/2773-9465.1177,Parkinson’s Disease Classification from Data Collected Using Smartphone: A Review of the Literature,"Currently, diagnosis or severity assessment of a movement disorder is based on clinical observation. Therefore, it is highly dependent on the skills and experiences of the trained specialist who performs the procedure. In order to quantify the disease and severity systematically, we investigate the studies on the feasibility of using a smartphone for the diagnosis of Parkinson’s disease (PD). The mPower dataset is one of the largest, open to researcher access, PD studies. It is a mobile application-based study for monitoring key indicators of PD progression. Data from seven modules with a total of 8,320 participants who provided the data of at least one task were released to the public researcher. The modules comprise demographics, MDS-UPDRS, PDQ-8, memory, tapping, voice, and walking. The dataset has been analyzed and investigated by many research teams. Strong evidence supports that classifying or disease progression monitoring of PD from smartphone data is feasible with high accuracy, especially from voice and walking activities.","Decho Surangsrirat, Warisara Asawaponwiput, Natsue Yoshimura, et al.",Asian Medical Journal and Alternative Medicine,2022,4/22/2022,classification,M,smartphone,openalex_mpower_M_ml_top350.csv,FALSE,,,TRUE,,
studentlife,openalex_studentlife_M_ml_top350.csv,214,MoodCapture: Depression Detection using In-the-Wild Smartphone Images,https://doi.org/10.1145/3613904.3642680,M,1,TRUE,Random Forest,Tree-based ensemble,TRUE,Random Forest,Tree-based ensemble,TRUE,ok,10.1145/3613904.3642680,https://openalex.org/W4392222076,https://doi.org/10.1145/3613904.3642680,MoodCapture: Depression Detection using In-the-Wild Smartphone Images,"MoodCapture presents a novel approach that assesses depression based on images automatically captured from the front-facing camera of smartphones as people go about their daily lives. We collect over 125,000 photos in the wild from N=177 participants diagnosed with major depressive disorder for 90 days. Images are captured naturalistically while participants respond to the PHQ-8 depression survey question: <i>""I have felt down, depressed, or hopeless""</i>. Our analysis explores important image attributes, such as angle, dominant colors, location, objects, and lighting. We show that a random forest trained with face landmarks can classify samples as depressed or non-depressed and predict raw PHQ-8 scores effectively. Our post-hoc analysis provides several insights through an ablation study, feature importance analysis, and bias assessment. Importantly, we evaluate user concerns about using MoodCapture to detect depression based on sharing photos, providing critical insights into privacy concerns that inform the future design of in-the-wild image-based mental health assessment tools.","Subigya Nepal, Arvind Pillai, Weichen Wang, et al.",,2024,5/11/2024,random forest,M,smartphone,openalex_studentlife_M_ml_top350.csv,FALSE,Tree-based ensemble,Random Forest,FALSE,Tree-based ensemble,Random Forest
mpower,openalex_mpower_M_ml_top350.csv,262,Development of digital biomarkers for resting tremor and bradykinesia using a wrist-worn wearable device,https://doi.org/10.1038/s41746-019-0217-7,M,3,TRUE,Random Forest; Mixed-Effects Model; Ensemble; Decision Tree,Ensemble / stacking; Other classical ML; Probabilistic / statistical; Tree-based ensemble,TRUE,Decision Tree,Other classical ML,TRUE,ok,10.1038/s41746-019-0217-7,https://openalex.org/W2999749474,https://doi.org/10.1038/s41746-019-0217-7,Development of digital biomarkers for resting tremor and bradykinesia using a wrist-worn wearable device,"Objective assessment of Parkinson's disease symptoms during daily life can help improve disease management and accelerate the development of new therapies. However, many current approaches require the use of multiple devices, or performance of prescribed motor activities, which makes them ill-suited for free-living conditions. Furthermore, there is a lack of open methods that have demonstrated both criterion and discriminative validity for continuous objective assessment of motor symptoms in this population. Hence, there is a need for systems that can reduce patient burden by using a minimal sensor setup while continuously capturing clinically meaningful measures of motor symptom severity under free-living conditions. We propose a method that sequentially processes epochs of raw sensor data from a single wrist-worn accelerometer by using heuristic and machine learning models in a hierarchical framework to provide continuous monitoring of tremor and bradykinesia. Results show that sensor derived continuous measures of resting tremor and bradykinesia achieve good to strong agreement with clinical assessment of symptom severity and are able to discriminate between treatment-related changes in motor states.","Nikhil Mahadevan, Charmaine Demanuele, Hao Zhang, et al.",npj Digital Medicine,2020,1/15/2020,machine learning,M,wearable,openalex_mpower_M_ml_top350.csv,TRUE,None/Unclear,None/Unclear,TRUE,Tree-based ensemble;Probabilistic / statistical;Ensemble / stacking;Other classical ML,Random Forest;Mixed-Effects Model;Ensemble;Decision Tree
studentlife,openalex_studentlife_M_ml_top350.csv,75,Integrating Wearable Sensor Data and Self-reported Diaries for Personalized Affect Forecasting,https://doi.org/10.48550/arxiv.2403.13841,M,2,TRUE,DNN; Transformer,Deep learning,TRUE,Transformer,Deep learning,TRUE,ok,10.48550/arxiv.2403.13841,https://openalex.org/W4393113075,https://doi.org/10.48550/arxiv.2403.13841,Integrating Wearable Sensor Data and Self-reported Diaries for Personalized Affect Forecasting,"Emotional states, as indicators of affect, are pivotal to overall health, making their accurate prediction before onset crucial. Current studies are primarily centered on immediate short-term affect detection using data from wearable and mobile devices. These studies typically focus on objective sensory measures, often neglecting other forms of self-reported information like diaries and notes. In this paper, we propose a multimodal deep learning model for affect status forecasting. This model combines a transformer encoder with a pre-trained language model, facilitating the integrated analysis of objective metrics and self-reported diaries. To validate our model, we conduct a longitudinal study, enrolling college students and monitoring them over a year, to collect an extensive dataset including physiological, environmental, sleep, metabolic, and physical activity parameters, alongside open-ended textual diaries provided by the participants. Our results demonstrate that the proposed model achieves predictive accuracy of 82.50% for positive affect and 82.76% for negative affect, a full week in advance. The effectiveness of our model is further elevated by its explainability.","Zhongqi Yang, Yuning Wang, Ken S. Yamashita, et al.",arXiv (Cornell University),2024,3/16/2024,deep learning; prediction; predictive; transformer,M,multimodal; wearable,openalex_studentlife_M_ml_top350.csv,TRUE,Deep learning,DNN,FALSE,Deep learning,DNN;Transformer
